remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1105	355	0	0	-1.#IND	8.39471	
1155	355	0	0	-1.#IND	8.22176	
1205	355	0	0	-1.#IND	8.39776	
1255	355	0	0	-1.#IND	10.0076	
1305	355	0	0	-1.#IND	10.688	
1355	355	0	0	-1.#IND	8.68399	
1405	355	0	0	-1.#IND	9.87341	
1455	355	0	0	-1.#IND	8.28524	
1505	355	0	0	-1.#IND	7.45276	
1555	355	0	0	-1.#IND	8.6992	
1605	355	1352.46	1818.87	0.205051	9.72402	
1655	355	2449.47	3392.91	0.197583	8.04652	
1705	355	3223.54	3648.18	0.253754	8.00052	
1755	355	3115.39	3978.31	0.218739	9.63963	
1805	355	2947.7	4253.6	0.187625	11.5638	
1855	355	1995.12	3171.89	0.16577	9.31272	
5	405	0	0	-1.#IND	8.10506	
55	405	0	0	-1.#IND	11.0176	
105	405	0	0	-1.#IND	10.9267	
155	405	0	0	-1.#IND	7.95301	
205	405	857.449	1539.51	0.141504	8.09365	
255	405	1287.47	2198.3	0.151123	9.82399	
305	405	1076.52	2053.95	0.130592	7.94274	
355	405	262.828	379.905	0.187225	8.74633	
405	405	0	0	-1.#IND	10.4022	
455	405	0	0	-1.#IND	9.15459	
505	405	0	0	-1.#IND	8.61823	
555	405	0	0	-1.#IND	9.42334	
605	405	2160.16	3328.24	0.172588	7.97315	
655	405	4910.64	4669.68	0.312623	8.15599	
705	405	2336.94	3045.85	0.213246	7.95947	
755	405	2460.8	3329.08	0.203535	7.95301	
805	405	2956.72	3311.37	0.257003	8.93677	
855	405	1862.06	1229.05	0.474344	8.07541	
905	405	0	0	-1.#IND	8.98125	
955	405	0	0	-1.#IND	10.038	
1005	405	0	0	-1.#IND	11.9603	
1055	405	0	0	-1.#IND	11.4779	
1105	405	0	0	-1.#IND	11.2232	
1155	405	0	0	-1.#IND	8.56767	
1205	405	0	0	-1.#IND	8.65396	
1255	405	928.66	513.929	0.574278	12.7875	
1305	405	0	0	-1.#IND	11.3282	
1355	405	0	0	-1.#IND	9.80194	
1405	405	0	0	-1.#IND	11.5403	
1455	405	0	0	-1.#IND	8.26129	
1505	405	0	0	-1.#IND	9.81107	
1555	405	0	0	-1.#IND	10.0065	
1605	405	2606.96	3456.35	0.208744	10.1308	
1655	405	2769.19	3740.47	0.203932	8.17044	
1705	405	3110.73	4762.28	0.174008	9.46097	
1755	405	2816.46	4005.15	0.191136	9.18424	
1805	405	1337.74	2563.92	0.12981	11.273	
1855	405	1622.79	2869.64	0.144358	10.634	
5	455	0	0	-1.#IND	8.44489	
55	455	0	0	-1.#IND	9.12722	
105	455	0	0	-1.#IND	12.0078	
155	455	1787.98	2939.18	0.158765	8.19097	
205	455	840.647	1727.46	0.118278	7.94845	
255	455	792.893	1792.21	0.103977	9.75709	
305	455	1258.75	2227.32	0.144237	8.03359	
355	455	679.717	1041.49	0.173816	8.36658	
405	455	1109.39	2173.69	0.126057	9.38989	
455	455	1563.72	3099.46	0.12413	8.54638	
505	455	134.775	206.905	0.173388	8.47226	
555	455	0	0	-1.#IND	8.04652	
605	455	2208.02	3067.41	0.196858	11.6216	
655	455	2292.01	3335.68	0.18561	8.4255	
705	455	1889.09	2381.95	0.222207	8.35366	
755	455	1809.24	2347.1	0.214489	11.8835	
805	455	2011.58	1413.09	0.44265	9.31766	
855	455	0	0	-1.#IND	8.45591	
905	455	0	0	-1.#IND	8.37305	
955	455	0	0	-1.#IND	8.27383	
1005	455	0	0	-1.#IND	13.1003	
1055	455	0	0	-1.#IND	12.9273	
1105	455	0	0	-1.#IND	12.6331	
1155	455	0	0	-1.#IND	11.5003	
1205	455	1548.56	1491.78	0.307872	12.6928	
1255	455	2086.66	1576.73	0.407802	13.8165	
1305	455	0	0	-1.#IND	11.9519	
1355	455	0	0	-1.#IND	8.71706	
1405	455	0	0	-1.#IND	8.06971	
1455	455	0	0	-1.#IND	8.07465	
1505	455	2623.68	3176.7	0.233626	7.94883	
1555	455	2732.35	3421.76	0.224096	7.90891	
1605	455	2892.91	4047.78	0.195087	8.03321	
1655	455	1344.57	2334.14	0.147891	7.36533	
1705	455	1314.95	2337.28	0.143387	8.83528	
1755	455	1294.59	2377.67	0.137343	8.90028	
1805	455	1568.14	2055.76	0.211705	9.24962	
