remote-sensing inversion	DierssenImage
6	6
Comments: 
02/13/17	18:33:52
ImageHeader	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
ImageData	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.dat
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
X	Y	RRS555	RRS670	Depth	T	
605	705	2220	1601	0.429826	0.20907	
655	705	2066	1505	0.424998	0.234158	
705	705	1923	1428	0.415902	0.226936	
755	705	0	0	-1.#IND	0.204508	
805	705	0	0	-1.#IND	0.225035	
855	705	0	0	-1.#IND	0.223134	
905	705	0	0	-1.#IND	0.199947	
955	705	0	0	-1.#IND	0.20945	
1005	705	2248	3126	0.196616	0.213631	
1055	705	4941	4795	0.305201	0.212491	
1105	705	2505	3423	0.20099	0.206789	
1155	705	1962	2896	0.182308	0.206789	
1205	705	2160	3151	0.185054	0.206789	
1255	705	1135	2020	0.143147	0.20983	
1305	705	1345	2200	0.159792	0.208309	
1355	705	1045	2264	0.11014	0.21059	
1405	705	1334	2459	0.136684	0.219713	
1455	705	1568	2754	0.145647	0.20983	
1505	705	1197	2531	0.113819	0.235678	
1555	705	1431	2519	0.145222	0.231497	
1605	705	1450	2795	0.128829	0.207169	
1655	705	1499	2764	0.136629	0.206029	
1705	705	1422	2805	0.124931	0.218193	
1755	705	1392	2632	0.132165	0.711217	
1805	705	1086	1407	0.214841	0.356559	
1855	705	1268	2876	0.103491	0.353518	
5	755	4695	4331	0.324007	0.347436	
55	755	2214	2993	0.203722	0.20983	
105	755	1905	2720	0.190159	0.207549	
155	755	3037	3042	0.293943	0.346295	
205	755	1723	1149	0.468995	0.382407	
255	755	2146	1099	0.623393	0.343634	
305	755	2069	1151	0.571087	0.339833	
355	755	2310	1304	0.562229	0.340973	
405	755	2469	1324	0.593834	0.339453	
455	755	2520	1448	0.551636	0.339453	
505	755	2422	1551	0.490399	0.206029	
555	755	1806	1546	0.353513	0.207169	
605	755	2192	1417	0.485351	0.207169	
655	755	1698	1411	0.365854	0.207169	
705	755	1847	1513	0.37193	0.206029	
755	755	0	0	-1.#IND	0.200707	
805	755	0	0	-1.#IND	0.281674	
855	755	2605	3685	0.192412	0.234538	
905	755	2487	2995	0.235183	0.207169	
955	755	5132	4828	0.316611	0.206789	
1005	755	2327	3343	0.188687	0.207169	
1055	755	2143	3207	0.179139	0.206789	
1105	755	2133	3032	0.191235	0.265708	
1155	755	1307	2353	0.141003	0.247842	
1205	755	1362	2446	0.141459	0.21173	
1255	755	1316	2358	0.141883	0.218573	
1305	755	1302	2299	0.144636	0.212111	
1355	755	1360	2447	0.14111	0.207549	
1405	755	1213	2532	0.115812	0.21021	
1455	755	1324	2602	0.125552	0.207929	
1505	755	1303	2350	0.140671	0.341734	
1555	755	1293	2538	0.125755	0.375945	
